customer_id,age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status
CUST100024,28,Self-Employed,5.4,59899,567,3.2,20476,27393,0,0,0,Line of Credit,Medical,31700,14.98,0.457,0.529,0.176,0
CUST100025,36,Employed,6.8,55609,651,16.9,1896,16140,0,0,0,Personal Loan,Education,69400,12.97,0.29,1.248,0.416,1
CUST100026,21,Employed,2.9,31219,656,1,54,5261,0,0,0,Credit Card,Business,19400,17.94,0.169,0.621,0.207,1
CUST100027,39,Employed,0,43085,579,3.5,206,359,0,4,1,Personal Loan,Medical,82800,15.68,0.008,1.922,0.641,0
CUST100028,27,Employed,6.2,23613,594,2.9,320,3017,1,1,0,Personal Loan,Debt Consolidation,26400,15.68,0.128,1.118,0.373,0
CUST100029,31,Employed,12.9,21376,632,8,3388,5083,0,1,1,Line of Credit,Education,6200,12.25,0.238,0.29,0.097,1
CUST100030,27,Employed,6.2,32073,619,8,274,6458,0,0,0,Personal Loan,Medical,50600,13.03,0.201,1.578,0.526,1
CUST100031,57,Self-Employed,21.5,38484,696,10.5,4316,18674,0,1,0,Line of Credit,Medical,18500,9.95,0.485,0.481,0.16,0
CUST100032,34,Employed,10.7,27886,623,6.8,110,2991,0,1,0,Personal Loan,Home Improvement,45300,13.91,0.107,1.624,0.541,0
CUST100033,22,Employed,3.9,,607,2.8,82,7111,0,1,0,Credit Card,Home Improvement,44700,20.18,0.193,1.212,0.404,0
CUST100034,44,Employed,18.7,92711,671,0.8,3851,14546,0,0,0,Personal Loan,Personal,100000,12.14,0.157,1.079,0.36,1
CUST100035,20,Employed,1,21651,703,1.7,52,12414,0,1,0,Credit Card,Personal,30000,16.23,0.573,1.386,0.462,0
CUST100036,37,Employed,4.7,48193,523,2.7,257,2464,0,0,0,Personal Loan,Education,64500,16.85,0.051,1.338,0.446,0
CUST100037,18,Employed,0,18730,618,0.4,0,3908,0,0,0,Personal Loan,Debt Consolidation,7000,13.76,0.209,0.374,0.125,0
CUST100038,19,Employed,0.2,38696,546,0.9,36,10868,0,0,0,Credit Card,Education,2400,21.08,0.281,0.062,0.021,1
CUST100039,37,Employed,1.2,55961,704,1.8,131,4799,0,0,0,Line of Credit,Home Improvement,27000,8.94,0.086,0.482,0.161,1
CUST100040,43,Employed,19.1,36496,589,18.2,463,7873,0,1,0,Credit Card,Personal,44300,22.33,0.216,1.214,0.405,0
CUST100041,37,Employed,7,54983,744,7.2,399,6316,0,0,1,Personal Loan,Education,100000,10.27,0.115,1.819,0.606,1
CUST100042,33,Employed,3.2,15000,688,7.6,459,2587,0,0,0,Credit Card,Home Improvement,6000,18.5,0.172,0.4,0.133,1
CUST100043,31,Employed,10,51632,677,11,3117,32886,0,0,0,Credit Card,Personal,59700,18.54,0.637,1.156,0.385,0
CUST100044,18,Employed,0,17747,666,0.1,2,3846,0,0,0,Credit Card,Personal,24300,17.69,0.217,1.369,0.456,0
CUST100045,26,Self-Employed,1.3,33606,675,1.4,258,3586,0,1,1,Personal Loan,Personal,23700,11.73,0.107,0.705,0.235,0
CUST100046,29,Employed,4.6,23699,646,3.2,105,5021,0,1,0,Credit Card,Education,27100,20.09,0.212,1.144,0.381,1
CUST100047,47,Student,0,15000,698,5.1,154,3399,0,0,0,Personal Loan,Home Improvement,25400,11.74,0.227,1.693,0.564,1
CUST100048,39,Employed,17.4,23955,542,4.6,422,4766,0,0,0,Credit Card,Business,33300,21.39,0.199,1.39,0.463,0
CUST100049,18,Employed,0,48420,636,0.7,12,20570,0,0,0,Line of Credit,Business,41600,12.71,0.425,0.859,0.286,0
CUST100050,38,Employed,7.8,47368,659,1.1,15,10330,0,0,0,Line of Credit,Education,37600,9.95,0.218,0.794,0.265,1
CUST100051,30,Employed,10.8,60218,719,10.8,1120,20999,0,1,0,Line of Credit,Debt Consolidation,40800,9.41,0.349,0.678,0.226,1
CUST100052,26,Employed,4.7,49924,675,6.4,333,7730,0,0,0,Credit Card,Debt Consolidation,47000,18.99,0.155,0.941,0.314,1
CUST100053,42,Employed,19.3,49881,620,17.9,17865,8324,0,0,0,Credit Card,Medical,10000,20.46,0.167,0.2,0.067,1
CUST100054,47,Self-Employed,4.2,172243,820,3.3,85551,10893,0,0,0,Line of Credit,Business,41700,6.31,0.063,0.242,0.081,1
CUST100055,46,Self-Employed,3.6,148299,734,0.1,138,69079,0,0,0,Credit Card,Education,70000,15.86,0.466,0.472,0.157,1
CUST100056,24,Employed,2.1,34736,594,0.4,29,2283,0,2,0,Credit Card,Education,43600,22.43,0.066,1.255,0.418,0
CUST100057,31,Employed,8.8,46820,550,5.9,316,17814,0,0,0,Credit Card,Business,9700,21.29,0.38,0.207,0.069,0
CUST100058,38,Employed,3.3,32568,640,10.8,3073,7636,1,1,0,Personal Loan,Education,11400,14.71,0.234,0.35,0.117,0
CUST100059,46,Employed,1.8,50953,709,17.9,9578,9420,0,1,0,Line of Credit,Debt Consolidation,16300,7.82,0.185,0.32,0.107,1
CUST100060,29,Employed,10.7,35025,607,0.4,6,15760,0,2,0,Credit Card,Business,26100,19.02,0.45,0.745,0.248,0
CUST100061,32,Employed,4.1,25546,570,7.4,18406,3482,0,0,0,Personal Loan,Education,20200,15.89,0.136,0.791,0.264,1
CUST100062,21,Employed,1.9,47404,778,0.5,140,16632,0,0,0,Credit Card,Debt Consolidation,47400,15.29,0.351,1,0.333,1
CUST100063,20,Employed,1.3,26639,485,1.5,207,10305,0,0,0,Personal Loan,Home Improvement,16000,15.16,0.387,0.601,0.2,0
CUST100064,44,Employed,1,36482,681,1.7,47,3615,0,0,0,Line of Credit,Education,23700,9.97,0.099,0.65,0.217,1
CUST100065,51,Employed,18.7,34543,592,30,52072,6288,0,0,1,Credit Card,Business,23000,22.49,0.182,0.666,0.222,0
CUST100066,34,Employed,3.2,87591,681,7.8,325,31229,0,1,0,Credit Card,Personal,21000,17.93,0.357,0.24,0.08,1
CUST100067,47,Employed,2.6,34455,774,24.5,3635,7696,0,1,0,Credit Card,Education,46700,14.68,0.223,1.355,0.452,1
CUST100068,39,Employed,8.3,37923,595,18.5,895,20363,0,0,0,Personal Loan,Debt Consolidation,48300,16.66,0.537,1.274,0.425,0
CUST100069,27,Employed,7.1,61606,675,4.3,1039,4719,0,0,0,Line of Credit,Home Improvement,23400,10.67,0.077,0.38,0.127,1
CUST100070,39,Employed,20.4,31003,702,0.9,104,6705,0,0,0,Line of Credit,Personal,8600,8.1,0.216,0.277,0.092,1
CUST100071,53,Employed,17.3,57938,697,10,8553,38346,0,0,0,Credit Card,Personal,59100,18.67,0.662,1.02,0.34,0
CUST100072,34,Employed,14.2,63302,649,13.7,8611,17651,0,0,0,Personal Loan,Medical,56300,14.8,0.279,0.889,0.296,1
CUST100073,53,Employed,33.1,43747,702,26.7,642,7077,0,0,0,Personal Loan,Medical,38100,11.28,0.162,0.871,0.29,1
CUST100074,18,Employed,0,15000,613,1.9,59,6782,0,1,0,Personal Loan,Personal,9600,14.93,0.452,0.64,0.213,0
CUST100075,44,Employed,3.8,,714,6.6,552,20939,0,0,0,Line of Credit,Business,42600,8.11,0.399,0.812,0.271,0
CUST100076,36,Employed,5.6,15000,615,0.9,42,2352,0,0,0,Credit Card,Home Improvement,800,19.44,0.157,0.053,0.018,1
CUST100077,31,Employed,5,17124,595,12.8,342,2153,0,0,0,Credit Card,Medical,20700,21.79,0.126,1.209,0.403,0
CUST100078,36,Employed,8.2,60707,569,13.1,1319,10760,0,1,0,Credit Card,Debt Consolidation,7400,22.05,0.177,0.122,0.041,0
CUST100079,18,Self-Employed,1,72070,546,0.6,25,11549,0,0,0,Line of Credit,Education,26500,13.09,0.16,0.368,0.123,1
CUST100080,32,Employed,9,39663,612,11.9,1288,20369,0,4,0,Line of Credit,Personal,16700,12.65,0.514,0.421,0.14,0
CUST100081,39,Employed,11.4,70053,742,1.5,439,22131,0,0,0,Credit Card,Education,58700,16.05,0.316,0.838,0.279,1
CUST100082,52,Employed,7.8,63670,588,7.1,5227,10764,0,0,1,Personal Loan,Home Improvement,12400,16.07,0.169,0.195,0.065,0
CUST100083,28,Employed,3.6,47789,643,2.5,2169,8286,0,0,0,Personal Loan,Medical,14500,13.09,0.173,0.303,0.101,1
CUST100084,25,Employed,2.9,28457,572,0.7,57,10323,0,1,0,Line of Credit,Education,26600,14.18,0.363,0.935,0.312,0
CUST100085,28,Employed,6.6,84255,596,9.8,878,33977,0,1,0,Credit Card,Personal,2500,22.41,0.403,0.03,0.01,0
CUST100086,45,Employed,3.8,26104,733,15.5,394,3965,0,0,0,Line of Credit,Medical,17900,9.04,0.152,0.686,0.229,1
CUST100087,38,Employed,4.8,,626,4.4,34216,26515,0,1,0,Line of Credit,Debt Consolidation,18000,11.94,0.264,0.179,0.06,0
CUST100088,28,Self-Employed,2.4,68946,563,9.6,10665,14467,0,0,0,Credit Card,Education,54800,21.97,0.21,0.795,0.265,1
CUST100089,41,Student,1,15089,677,5.2,71,5207,0,0,0,Credit Card,Personal,1500,18.12,0.345,0.099,0.033,1
CUST100090,36,Employed,13.6,84881,671,16.5,624,15127,0,0,0,Personal Loan,Medical,100000,12.25,0.178,1.178,0.393,1
CUST100091,46,Self-Employed,20.4,53989,707,2,111,7935,0,1,0,Personal Loan,Personal,22200,10.96,0.147,0.411,0.137,1
CUST100092,26,Employed,5.9,23965,620,3,310,8363,0,2,0,Personal Loan,Education,19700,13.82,0.349,0.822,0.274,1
CUST100093,31,Employed,9.7,15000,656,3,8833,2723,0,0,0,Personal Loan,Medical,22100,12.07,0.182,1.473,0.491,1
CUST100094,30,Employed,2.9,41520,658,1.7,1580,8858,0,0,0,Credit Card,Debt Consolidation,38500,17.14,0.213,0.927,0.309,0
CUST100095,18,Student,1.8,51991,632,1,148,14715,0,0,0,Credit Card,Education,5200,20.98,0.283,0.1,0.033,1
CUST100096,38,Employed,1.1,51546,566,7,5034,10013,0,1,0,Personal Loan,Medical,22700,16.23,0.194,0.44,0.147,0
CUST100097,38,Employed,10.8,48764,587,2.5,1189,8547,1,3,0,Credit Card,Home Improvement,48100,22.48,0.175,0.986,0.329,0
CUST100098,35,Self-Employed,2.1,78772,601,11,4079,11152,0,1,0,Personal Loan,Business,54100,13.28,0.142,0.687,0.229,1
CUST100099,32,Employed,8.4,40224,671,11.7,292,19103,0,0,0,Credit Card,Personal,38800,17.03,0.475,0.965,0.322,1
CUST100100,18,Employed,0,,640,0.7,68,6127,0,0,0,Credit Card,Personal,900,19.58,0.302,0.044,0.015,1
CUST100101,29,Self-Employed,4.8,23719,580,6.7,4338,3987,1,1,0,Credit Card,Education,31100,22.42,0.168,1.311,0.437,0
CUST100102,30,Employed,0.4,32703,640,0.4,51,12283,0,0,0,Credit Card,Medical,26500,20.97,0.376,0.81,0.27,0
CUST100103,25,Employed,1.2,25673,662,3.2,249,10494,0,0,0,Line of Credit,Medical,10300,10.68,0.409,0.401,0.134,1
CUST100104,33,Employed,11.3,61216,644,3.3,377,5894,0,0,0,Personal Loan,Medical,92500,13.56,0.096,1.511,0.504,0
CUST100105,39,Employed,6.4,45153,703,2.4,612,17032,0,0,1,Personal Loan,Education,75900,10.88,0.377,1.681,0.56,1
CUST100106,57,Self-Employed,26.6,116531,647,27.2,241834,26197,0,1,0,Credit Card,Business,45700,19.32,0.225,0.392,0.131,1
CUST100107,37,Student,0.2,,678,11.4,3140,3430,0,0,0,Line of Credit,Home Improvement,6700,10.94,0.229,0.447,0.149,1
CUST100108,38,Employed,10.6,32304,611,5.3,436,11166,0,1,0,Line of Credit,Home Improvement,16600,11.36,0.346,0.514,0.171,1
CUST100109,34,Employed,14.8,49400,633,15.5,1282,24497,0,0,0,Line of Credit,Business,16300,11.28,0.496,0.33,0.11,0
CUST100110,18,Employed,0,15000,630,0.1,3,3083,0,1,0,Personal Loan,Home Improvement,5800,14.28,0.206,0.387,0.129,0
CUST100111,34,Employed,5.2,26957,743,7.7,8220,10988,0,0,0,Personal Loan,Education,48300,11.01,0.408,1.792,0.597,1
CUST100112,35,Employed,16.4,74749,664,14.9,4204,27932,0,0,0,Credit Card,Personal,70000,17.69,0.374,0.936,0.312,1
CUST100113,64,Self-Employed,13.3,79988,659,22.2,3835,21478,0,0,0,Credit Card,Medical,15700,17.2,0.269,0.196,0.065,1
CUST100114,32,Self-Employed,7.3,25622,638,2.8,71,2670,0,0,0,Personal Loan,Education,5600,14.34,0.104,0.219,0.073,1
CUST100115,38,Employed,18.4,39184,684,19.5,4115,8599,0,0,0,Personal Loan,Personal,62100,11.29,0.219,1.585,0.528,1
CUST100116,34,Employed,0.2,57880,635,12,4071,9813,0,0,0,Personal Loan,Personal,53200,14.39,0.17,0.919,0.306,1
CUST100117,20,Employed,1.1,26435,641,0.8,18,5658,0,0,0,Personal Loan,Debt Consolidation,31300,13.1,0.214,1.184,0.395,0
CUST100118,48,Employed,21.4,79056,612,5.5,357,22328,0,1,0,Credit Card,Debt Consolidation,11600,20.89,0.282,0.147,0.049,1
CUST100119,44,Student,0.8,,714,10.4,172,7864,0,0,0,Credit Card,Debt Consolidation,2100,16.42,0.378,0.101,0.034,1
CUST100120,44,Employed,17.5,103052,641,9.5,14565,21353,0,0,0,Line of Credit,Debt Consolidation,42600,11.01,0.207,0.413,0.138,1
CUST100121,24,Employed,4.8,20874,601,1,26,5259,0,0,0,Personal Loan,Personal,20000,14.71,0.252,0.958,0.319,1
CUST100122,51,Self-Employed,9.8,47304,657,25.1,2868,12139,0,0,0,Personal Loan,Medical,53200,11.05,0.257,1.125,0.375,1
CUST100123,18,Employed,0,22236,564,1.6,11,13003,0,0,0,Credit Card,Education,27400,21.06,0.585,1.232,0.411,0
CUST100124,42,Employed,2.1,63925,735,15.5,25375,5041,0,0,0,Credit Card,Education,2700,16.44,0.079,0.042,0.014,1
CUST100125,61,Employed,38.2,246598,702,9.2,2489,81525,0,0,0,Credit Card,Business,70000,15.9,0.331,0.284,0.095,1
CUST100126,23,Student,0.1,15000,617,2.7,79,716,0,1,0,Credit Card,Education,1500,20.97,0.048,0.1,0.033,1
CUST100127,28,Self-Employed,3.4,134440,641,4.7,1893,7238,0,0,0,Credit Card,Debt Consolidation,60500,20.71,0.054,0.45,0.15,0
CUST100128,36,Employed,9.6,76486,652,13.7,11903,19387,0,0,0,Credit Card,Home Improvement,70000,18.94,0.253,0.915,0.305,1
CUST100129,28,Employed,1.4,43149,654,1.2,5764,18969,0,0,0,Personal Loan,Home Improvement,57800,12.55,0.44,1.34,0.447,0
CUST100130,18,Employed,0,,670,0.4,13,2077,0,0,0,Credit Card,Business,23900,17.44,0.09,1.033,0.344,0
CUST100131,35,Employed,5,29272,657,6.8,43,13669,0,0,1,Credit Card,Debt Consolidation,25800,18.98,0.467,0.881,0.294,0
CUST100132,22,Employed,3.2,45904,592,2,285,17642,0,0,0,Credit Card,Home Improvement,52200,21.49,0.384,1.137,0.379,0
CUST100133,40,Employed,18.1,66046,623,15.3,4843,7718,0,1,0,Personal Loan,Personal,100000,13.15,0.117,1.514,0.505,1
CUST100134,23,Employed,2.2,15177,698,3,11,2128,0,0,0,Personal Loan,Education,5400,12.46,0.14,0.356,0.119,1
CUST100135,53,Employed,15.2,132904,484,24.3,3873,31171,0,2,0,Personal Loan,Home Improvement,100000,15.95,0.235,0.752,0.251,1
CUST100136,25,Employed,0.5,31555,569,5.4,750,6842,0,0,0,Personal Loan,Debt Consolidation,25800,16.46,0.217,0.818,0.273,0
CUST100137,31,Employed,4.6,16069,440,4.6,113,4414,0,1,0,Line of Credit,Business,6300,14.82,0.275,0.392,0.131,0
CUST100138,44,Employed,10.5,97803,727,0.5,75,32371,0,0,0,Credit Card,Business,70000,15.67,0.331,0.716,0.239,1
CUST100139,20,Self-Employed,1,48503,655,1.9,294,9667,0,0,0,Credit Card,Education,27500,17.2,0.199,0.567,0.189,1
CUST100140,37,Self-Employed,7.3,41531,784,8.2,836,14306,0,0,0,Credit Card,Personal,11900,15.08,0.344,0.287,0.096,1
CUST100141,50,Self-Employed,3.5,170371,677,2.6,103,41781,0,0,0,Credit Card,Home Improvement,3600,17.66,0.245,0.021,0.007,1
CUST100142,18,Employed,0,22404,490,1.8,34,10023,0,1,2,Line of Credit,Personal,18600,14.29,0.447,0.83,0.277,0
CUST100143,37,Employed,8.2,49011,669,8.4,132,26871,0,0,0,Line of Credit,Business,23600,9.44,0.548,0.482,0.161,0
CUST100144,38,Student,0.8,17861,576,0.8,628,8543,0,0,1,Line of Credit,Personal,6900,13.9,0.478,0.386,0.129,0
CUST100145,44,Employed,3.7,116002,612,20.6,842,39433,0,1,0,Personal Loan,Education,100000,13.93,0.34,0.862,0.287,1
CUST100146,20,Employed,1.3,40582,548,1.5,6042,3140,0,0,0,Line of Credit,Personal,19300,13.47,0.077,0.476,0.159,0
CUST100147,19,Employed,0.1,25197,622,0.5,24,6888,0,2,0,Credit Card,Home Improvement,24200,19.5,0.273,0.96,0.32,0
CUST100148,41,Employed,0.1,26189,697,3.8,211,4149,0,0,0,Credit Card,Education,23200,18.37,0.158,0.886,0.295,1
CUST100149,38,Student,1.2,26736,596,7.6,1296,5468,0,1,1,Personal Loan,Personal,20400,15.47,0.205,0.763,0.254,0
CUST100150,38,Employed,1.7,62939,651,10.5,310,15270,1,3,0,Credit Card,Debt Consolidation,18600,18.22,0.243,0.296,0.099,0
CUST100151,39,Employed,1.3,55353,641,14.3,226,29460,0,0,0,Credit Card,Personal,20000,20.87,0.532,0.361,0.12,0
CUST100152,26,Student,0.2,16409,653,7.5,550,4709,0,0,0,Personal Loan,Personal,5900,11.8,0.287,0.36,0.12,1
CUST100153,37,Employed,17.8,63252,584,1,309,22821,0,0,0,Personal Loan,Education,100000,15.47,0.361,1.581,0.527,0
CUST100154,38,Employed,2.1,60706,600,4.5,642,21034,0,2,0,Line of Credit,Business,17300,11.26,0.346,0.285,0.095,0
CUST100155,26,Employed,6.7,49978,555,6.4,143,12337,0,0,0,Personal Loan,Home Improvement,87500,15.32,0.247,1.751,0.584,0
CUST100156,57,Self-Employed,23.5,68032,599,13.8,331,23373,0,1,0,Line of Credit,Debt Consolidation,20000,14.78,0.344,0.294,0.098,0
CUST100157,40,Employed,18.5,59009,704,16,2285,4832,0,1,0,Credit Card,Education,4500,16.97,0.082,0.076,0.025,1
CUST100158,20,Employed,1.2,23972,708,0.7,71,5404,0,0,0,Line of Credit,Business,17000,8.64,0.225,0.709,0.236,1
CUST100159,42,Employed,3.7,86164,685,10.2,4052,17429,0,0,0,Personal Loan,Personal,66700,12.94,0.202,0.774,0.258,1
CUST100160,23,Student,1.5,15000,638,1.9,6,2320,0,0,0,Line of Credit,Medical,5000,12.27,0.155,0.333,0.111,1
CUST100161,44,Employed,14.7,,606,11.2,8217,9506,0,0,0,Line of Credit,Personal,16600,11.44,0.194,0.338,0.113,1
CUST100162,48,Employed,17,36365,622,20.9,497,18104,0,1,0,Credit Card,Home Improvement,39500,20.92,0.498,1.086,0.362,0
CUST100163,25,Self-Employed,2.2,90904,647,6.8,2834,20755,0,1,0,Credit Card,Home Improvement,70000,19.41,0.228,0.77,0.257,1
CUST100164,46,Self-Employed,4.4,115384,812,2.6,1013,19821,0,0,0,Personal Loan,Debt Consolidation,100000,8.52,0.172,0.867,0.289,1
CUST100165,39,Employed,6.1,28126,616,17.7,2160,12278,0,0,0,Credit Card,Home Improvement,10200,20.25,0.437,0.363,0.121,1
CUST100166,44,Self-Employed,21.9,91581,637,4.3,2207,36304,0,1,0,Line of Credit,Business,38600,12.3,0.396,0.421,0.14,0
CUST100167,57,Employed,34.1,67706,660,26.6,6401,4176,0,0,0,Line of Credit,Personal,29100,9.58,0.062,0.43,0.143,1
CUST100168,32,Employed,5,21294,638,1.1,483,4083,0,1,0,Personal Loan,Business,37700,13.01,0.192,1.77,0.59,0
CUST100169,25,Employed,6.9,43332,641,6,424,6100,0,1,0,Personal Loan,Debt Consolidation,18300,13.6,0.141,0.422,0.141,0
CUST100170,24,Employed,0.4,53349,675,0.6,46,8840,0,0,0,Credit Card,Business,48700,17.68,0.166,0.913,0.304,1
CUST100171,25,Employed,2.4,,641,6,226,7434,0,0,0,Credit Card,Personal,7000,19.26,0.253,0.239,0.08,1
CUST100172,34,Employed,8.9,43738,614,0.3,469,19176,0,2,0,Personal Loan,Education,52900,14.16,0.438,1.209,0.403,0
CUST100173,39,Employed,13,38050,658,4,361,12487,0,0,0,Line of Credit,Education,11900,10.3,0.328,0.313,0.104,1
CUST100174,38,Self-Employed,13.1,15000,628,3.9,92,2862,0,1,0,Line of Credit,Medical,6800,12.76,0.191,0.453,0.151,0
CUST100175,44,Employed,19.2,,687,1.4,100,27569,0,1,0,Credit Card,Education,2600,18,0.566,0.053,0.018,0
CUST100176,35,Employed,11.7,38327,649,7,1588,15569,1,0,0,Personal Loan,Personal,55700,13.95,0.406,1.453,0.484,0
CUST100177,52,Employed,33.1,41742,650,19.6,936,13388,0,0,0,Personal Loan,Debt Consolidation,31000,11.57,0.321,0.743,0.248,1
CUST100178,31,Employed,7.8,,722,4.1,73,7603,0,0,0,Line of Credit,Personal,5100,8.12,0.507,0.34,0.113,0
CUST100179,67,Student,0,15841,676,1.2,443,951,1,4,0,Personal Loan,Business,30800,11.68,0.06,1.944,0.648,0
CUST100180,42,Employed,14.8,35161,701,6.7,428,5007,0,0,0,Personal Loan,Personal,7500,10.02,0.142,0.213,0.071,1
CUST100181,24,Self-Employed,1.8,63456,689,4.5,80,8131,0,0,0,Credit Card,Education,27700,17.61,0.128,0.437,0.146,1
CUST100182,22,Employed,3.7,33721,605,3.4,73,2150,0,1,0,Line of Credit,Business,17700,12.55,0.064,0.525,0.175,0
CUST100183,40,Employed,8.6,15000,619,8.9,63,2278,0,2,1,Personal Loan,Personal,2900,13.87,0.152,0.193,0.064,1
CUST100184,32,Employed,0.7,21625,564,7.2,109,12810,1,1,3,Line of Credit,Education,7200,13.6,0.592,0.333,0.111,0
CUST100185,43,Employed,3.2,53165,710,22.4,2370,11360,0,0,0,Credit Card,Education,45000,16.73,0.214,0.846,0.282,1
CUST100186,40,Self-Employed,16.4,87153,747,21.9,340,51607,0,0,0,Personal Loan,Medical,100000,9.53,0.592,1.147,0.382,0
CUST100187,34,Self-Employed,11.5,24398,652,4.1,1195,491,0,0,0,Personal Loan,Medical,23500,11.28,0.02,0.963,0.321,1
CUST100188,24,Self-Employed,1.2,80393,688,2.7,83,41532,0,0,0,Line of Credit,Personal,25000,9.82,0.517,0.311,0.104,0
CUST100189,18,Student,1.4,21219,650,1.2,9,6773,0,0,0,Credit Card,Home Improvement,1200,17.88,0.319,0.057,0.019,1
CUST100190,29,Employed,5.2,31595,534,4.3,22,8632,0,1,0,Line of Credit,Personal,12700,14.33,0.273,0.402,0.134,0
CUST100191,45,Self-Employed,14.3,44947,637,26.6,5187,11456,0,0,0,Line of Credit,Personal,35300,12.84,0.255,0.785,0.262,1
CUST100192,37,Employed,1,26366,620,11.1,4060,6650,0,0,0,Credit Card,Debt Consolidation,33300,20.66,0.252,1.263,0.421,0
CUST100193,20,Employed,1.9,32967,628,1,15,8860,0,1,0,Line of Credit,Personal,8300,12.2,0.269,0.252,0.084,1
CUST100194,37,Employed,9,38200,619,0.3,56,10970,0,1,0,Line of Credit,Personal,25100,11.54,0.287,0.657,0.219,1
CUST100195,39,Employed,16.2,23935,668,0.6,128,11418,0,0,0,Line of Credit,Personal,21500,9.82,0.477,0.898,0.299,0
CUST100196,24,Employed,3.1,36407,623,0.6,283,12804,0,1,0,Credit Card,Business,35000,19.2,0.352,0.961,0.32,1
CUST100197,36,Employed,15.4,27834,631,6.2,393,3211,0,0,0,Personal Loan,Debt Consolidation,3400,13.29,0.115,0.122,0.041,1
CUST100198,35,Employed,10.8,54382,709,7,57393,6832,0,0,0,Line of Credit,Medical,16100,8.07,0.126,0.296,0.099,1
CUST100199,21,Employed,1,55491,590,1.5,232,22207,0,1,3,Credit Card,Business,60900,21.08,0.4,1.097,0.366,0
